City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Namatanai,PG,84.31,light rain,-3.6667,152.4333,Seagulls Inn Namatani
9,Hithadhoo,MV,82.0,scattered clouds,-0.6,73.0833,Scoop Guest House
12,Bathsheba,BB,75.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
26,Kapaa,US,76.98,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,Georgetown,MY,84.13,scattered clouds,5.4112,100.3354,Cititel Penang
46,Moerewa,NZ,78.35,overcast clouds,-35.3833,174.0333,Hunter Star Hotel
51,Ahipara,NZ,78.75,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
55,Port Hueneme,US,76.57,scattered clouds,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
56,Alice Springs,AU,89.15,few clouds,-23.7,133.8833,Desert Palms Alice Springs
65,Kupang,ID,82.6,light rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
72,General Roca,AR,79.2,scattered clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
74,Trincomalee,LK,79.07,overcast clouds,8.5711,81.2335,Welcombe Hotel
80,Rikitea,PF,79.11,scattered clouds,-23.1203,-134.9692,People ThankYou
84,Hobart,AU,75.02,overcast clouds,-42.8794,147.3294,Mantra on Collins Hobart
88,Esperance,AU,84.04,clear sky,-33.8667,121.9,Hospitality Esperance
89,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
91,Vaini,TO,86.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
94,Carnarvon,AU,84.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
95,Acarau,BR,77.41,scattered clouds,-2.8856,-40.12,castelo pizzaria
96,Butaritari,KI,81.72,light rain,3.0707,172.7902,Isles Sunset Lodge
98,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
112,Chumphon,TH,80.71,scattered clouds,10.3333,98.8333,สกาน จ๋า.
129,Atuona,PF,78.78,clear sky,-9.8,-139.0333,Villa Enata
130,Kavieng,PG,82.4,moderate rain,-2.5744,150.7967,Nusa Island Retreat
131,Souillac,MU,81.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
133,Lorengau,PG,83.44,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
136,Buala,SB,83.34,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
139,Puerto Escondido,MX,75.52,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
144,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
146,Grand Gaube,MU,81.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
152,Sao Jose Da Coroa Grande,BR,80.08,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
160,Ballina,AU,86.18,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
164,Itarema,BR,77.13,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
168,Kieta,PG,83.52,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
181,Broken Hill,AU,85.03,clear sky,-31.95,141.4333,Royal Exchange Hotel
183,Kavaratti,IN,80.19,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
184,Tautira,PF,84.22,scattered clouds,-17.7333,-149.15,Pension Oaoa
185,Trairi,BR,76.33,scattered clouds,-3.2778,-39.2689,janelas do mar
191,Dingle,PH,84.47,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
199,Yanam,IN,77.4,few clouds,16.7333,82.2167,The Regency Hotel
200,Pouebo,NC,79.95,light rain,-20.4,164.5667,RIVÂT LODGE
201,Gigmoto,PH,81.61,overcast clouds,13.7796,124.39,Cj's Travellers Inn
205,Banda Aceh,ID,82.47,overcast clouds,5.5577,95.3222,Sulthan Hotel International
210,Ternate,ID,84.67,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
211,Wanning,CN,75.67,broken clouds,18.8003,110.3967,Paradise Hotel
215,Sumenep,ID,83.89,light rain,-7.0167,113.8667,OYO 3271 Homestay Pandian
236,Bambous Virieux,MU,81.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
242,Tumbagaan,PH,82.18,overcast clouds,5.3656,120.3139,
243,Sarangani,PH,81.88,overcast clouds,5.4033,125.4636,Ballistic Islet
251,Sao Filipe,CV,77.07,overcast clouds,14.8961,-24.4956,Hotel Xaguate
253,Porto Novo,BJ,76.05,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
264,Port-Gentil,GA,81.05,overcast clouds,-0.7193,8.7815,Fengshui Residence
265,Isangel,VU,78.28,heavy intensity rain,-19.55,169.2667,Tanna Lodge
268,Chake Chake,TZ,80.62,broken clouds,-5.2459,39.7666,Hotel Archipelago
270,Natal,BR,79.45,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
278,Flinders,AU,89.8,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
280,Anloga,GH,79.75,clear sky,5.7947,0.8973,Pin Drop Hotel
