,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kamaishi,JP,39.2667,141.8833,31.15,83,100,6.62,light snow
1,Marsala,IT,37.7966,12.4352,51.35,62,0,6.42,clear sky
2,Wiarton,CA,44.7407,-81.1332,37.04,75,100,11.5,overcast clouds
3,Saint George,US,37.1041,-113.5841,59.59,29,0,25.32,clear sky
4,Namatanai,PG,-3.6667,152.4333,84.31,72,66,6.62,light rain
5,Geraldton,AU,-28.7667,114.6,100.81,14,0,5.75,clear sky
6,Bethel,US,41.3712,-73.414,34.93,84,32,4.03,scattered clouds
7,Thompson,CA,55.7435,-97.8558,-2.04,65,100,3.44,overcast clouds
8,Olot,ES,42.181,2.4901,47.14,99,0,3.69,clear sky
9,Hithadhoo,MV,-0.6,73.0833,82.0,73,42,11.01,scattered clouds
10,Dikson,RU,73.5069,80.5464,2.16,95,100,20.94,overcast clouds
11,Port Alfred,ZA,-33.5906,26.891,65.44,78,0,8.93,clear sky
12,Bathsheba,BB,13.2167,-59.5167,75.81,73,75,12.66,broken clouds
13,Hilo,US,19.7297,-155.09,73.8,88,35,4.29,scattered clouds
14,Jamestown,US,42.097,-79.2353,40.64,65,75,12.66,broken clouds
15,Hadishahr,AZ,38.8431,45.6635,32.49,81,42,5.88,scattered clouds
16,Albany,US,42.6001,-73.9662,41.58,73,98,2.53,overcast clouds
17,Ojinaga,MX,29.5667,-104.4167,51.42,25,0,5.75,clear sky
18,Roald,NO,62.5833,6.1333,37.54,60,20,12.66,few clouds
19,Eureka,US,40.8021,-124.1637,55.36,81,0,1.01,clear sky
20,Qaanaaq,GL,77.484,-69.3632,-22.07,61,90,7.05,overcast clouds
21,Cape Town,ZA,-33.9258,18.4232,66.88,90,75,5.75,light intensity drizzle
22,Cherskiy,RU,68.75,161.3,-40.65,99,89,4.65,overcast clouds
23,Tiksi,RU,71.6872,128.8694,-12.26,92,99,14.56,overcast clouds
24,Henties Bay,NA,-22.116,14.2845,66.85,91,2,5.64,clear sky
25,Saldanha,ZA,-33.0117,17.9442,62.65,95,57,7.09,broken clouds
26,Kapaa,US,22.0752,-159.319,76.98,74,38,6.22,scattered clouds
27,Katsuura,JP,35.1333,140.3,41.02,80,100,16.89,moderate rain
28,Itacarambi,BR,-15.1022,-44.0919,70.14,96,100,2.91,overcast clouds
29,Buin,CL,-33.7333,-70.75,72.73,83,0,2.39,clear sky
30,Vestmannaeyjar,IS,63.4427,-20.2734,25.12,70,97,15.52,overcast clouds
31,Yaan,NG,7.3833,8.5667,74.12,16,66,4.68,broken clouds
32,Puerto Ayora,EC,-0.7393,-90.3518,73.85,84,97,5.55,overcast clouds
33,Punta Arenas,CL,-53.15,-70.9167,44.71,61,40,25.32,scattered clouds
34,Hermanus,ZA,-34.4187,19.2345,65.89,85,99,4.79,overcast clouds
35,Ilulissat,GL,69.2167,-51.1,-9.71,96,100,13.4,overcast clouds
36,Gorom-Gorom,BF,14.4439,-0.2361,68.43,11,0,10.31,clear sky
37,Saint-Jean-De-Maurienne,FR,45.1667,6.5833,20.14,34,40,2.91,scattered clouds
38,Shimoda,JP,34.6667,138.95,41.36,95,100,22.19,light rain
39,New Norfolk,AU,-42.7826,147.0587,74.66,24,7,8.88,clear sky
40,Santa Maria,BR,-29.6842,-53.8069,67.3,83,0,9.22,clear sky
41,Busselton,AU,-33.65,115.3333,91.04,34,6,3.62,clear sky
42,Georgetown,MY,5.4112,100.3354,84.13,83,40,6.91,scattered clouds
43,Casablanca,MA,33.5928,-7.6192,46.42,75,4,0.89,clear sky
44,Tezu,IN,27.9167,96.1667,67.21,54,97,2.91,overcast clouds
45,Nemuro,JP,43.3236,145.575,27.03,66,5,3.6,clear sky
46,Moerewa,NZ,-35.3833,174.0333,78.35,70,99,6.87,overcast clouds
47,Ushuaia,AR,-54.8,-68.3,47.86,46,75,14.97,broken clouds
48,Codrington,AU,-38.2667,141.9667,67.68,51,84,15.05,broken clouds
49,Fortuna,US,40.5982,-124.1573,55.09,85,0,8.05,clear sky
50,Mayo,US,38.8876,-76.5119,47.1,72,0,9.22,clear sky
51,Ahipara,NZ,-35.1667,173.1667,78.75,70,100,10.69,overcast clouds
52,Cidreira,BR,-30.1811,-50.2056,72.07,72,93,13.42,overcast clouds
53,Juneau,US,58.3019,-134.4197,42.22,96,100,9.66,snow
54,Taoudenni,ML,22.6783,-3.9836,61.07,24,0,11.92,clear sky
55,Port Hueneme,US,34.1478,-119.1951,76.57,30,36,6.2,scattered clouds
56,Alice Springs,AU,-23.7,133.8833,89.15,27,16,10.36,few clouds
57,Barcelos,PT,41.5388,-8.6151,50.14,77,15,3.13,few clouds
58,Khatanga,RU,71.9667,102.5,-1.44,94,83,15.68,broken clouds
59,Hofn,IS,64.2539,-15.2082,20.93,67,69,15.66,broken clouds
60,Teguise,ES,29.0605,-13.564,70.02,31,0,1.14,clear sky
61,Nanortalik,GL,60.1432,-45.2371,20.03,69,63,7.58,broken clouds
62,Ostrovnoy,RU,68.0531,39.5131,24.26,85,97,23.24,overcast clouds
63,Abalak,RU,58.1286,68.5944,-7.08,96,6,7.38,clear sky
64,Provideniya,RU,64.3833,-173.3,-3.89,59,0,13.42,clear sky
65,Kupang,ID,-10.1667,123.5833,82.6,80,95,6.78,light rain
66,Bluff,NZ,-46.6,168.3333,73.8,83,40,12.41,scattered clouds
67,Aksehir,TR,38.3575,31.4164,20.8,92,83,7.52,broken clouds
68,Kruisfontein,ZA,-34.0033,24.7314,61.77,68,0,6.02,clear sky
69,Husavik,IS,66.0449,-17.3389,4.91,85,82,9.4,broken clouds
70,Piterka,RU,50.6803,47.4454,32.56,98,100,10.31,light snow
71,Mar Del Plata,AR,-38.0023,-57.5575,66.87,86,0,17.0,clear sky
72,General Roca,AR,-39.0333,-67.5833,79.2,28,37,16.28,scattered clouds
73,Yuancheng,CN,36.652,107.7896,26.89,75,100,2.57,overcast clouds
74,Trincomalee,LK,8.5711,81.2335,79.07,84,99,10.29,overcast clouds
75,Gryazovets,RU,58.88,40.2525,19.51,97,99,6.31,overcast clouds
76,Chokurdakh,RU,70.6333,147.9167,-17.37,97,100,11.99,overcast clouds
77,Tuatapere,NZ,-46.1333,167.6833,73.81,67,46,6.33,scattered clouds
78,Laguna,US,38.421,-121.4238,61.41,72,0,3.06,clear sky
79,Dali,CN,25.7,100.1833,52.92,31,3,7.38,clear sky
80,Rikitea,PF,-23.1203,-134.9692,79.11,73,30,18.45,scattered clouds
