City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Santiago Del Estero,76,AR,2022-02-08 01:09:26,31,-27.7951,-64.2615,79.14,5.66
1,Bredasdorp,7,ZA,2022-02-08 01:09:26,97,-34.5322,20.0403,61.29,3.53
2,Mataura,0,NZ,2022-02-08 01:09:26,34,-46.1927,168.8643,61.48,2.48
3,Sioux Lookout,95,CA,2022-02-08 01:09:27,94,50.1001,-91.917,13.82,7.54
4,Coihaique,100,CL,2022-02-08 01:08:21,63,-45.5752,-72.0662,64.35,5.75
5,Bethel,100,US,2022-02-08 01:04:33,92,41.3712,-73.414,37.02,0.0
6,Cuamba,10,MZ,2022-02-08 01:09:27,97,-14.8031,36.5372,66.15,2.35
7,Kodiak,100,US,2022-02-08 01:09:27,87,57.79,-152.4072,36.91,18.41
8,Sortavala,100,RU,2022-02-08 01:09:28,98,61.7053,30.6918,25.68,3.51
9,Madang,37,PG,2022-02-08 01:09:28,72,-5.2246,145.7966,85.23,3.11
10,Lautaro,100,CL,2022-02-08 01:09:28,71,-38.5167,-72.45,57.18,2.75
11,Tabuk,100,PH,2022-02-08 01:09:29,82,17.4189,121.4443,75.76,3.44
12,Coos Bay,100,US,2022-02-08 01:09:29,96,43.3665,-124.2179,54.32,8.05
13,Albany,100,US,2022-02-08 01:07:00,91,42.6001,-73.9662,36.14,1.1
14,Srinivaspur,65,IN,2022-02-08 01:09:30,93,13.3333,78.2167,63.61,3.96
15,Lebu,34,CL,2022-02-08 01:09:30,85,-37.6167,-73.65,59.97,14.52
16,Upernavik,100,GL,2022-02-08 01:09:30,93,72.7868,-56.1549,-9.47,14.2
17,Sambava,33,MG,2022-02-08 01:09:30,87,-14.2667,50.1667,75.34,4.59
18,Carnarvon,0,AU,2022-02-08 01:09:24,40,-24.8667,113.6333,76.23,19.48
19,Pampa,0,US,2022-02-08 01:09:31,42,35.5362,-100.9599,47.35,6.91
20,Rikitea,93,PF,2022-02-08 01:09:31,75,-23.1203,-134.9692,78.82,13.82
21,Mahebourg,75,MU,2022-02-08 01:09:32,94,-20.4081,57.7,75.49,4.61
22,Muzhi,100,RU,2022-02-08 01:09:32,100,65.3667,64.6667,-6.3,4.61
23,Longyearbyen,75,SJ,2022-02-08 01:09:32,93,78.2186,15.6401,19.24,3.44
24,Nara,100,JP,2022-02-08 01:09:33,57,34.6851,135.8049,43.97,1.86
25,Punta Arenas,100,CL,2022-02-08 01:09:33,93,-53.15,-70.9167,51.91,6.91
26,Arraial Do Cabo,40,BR,2022-02-08 01:08:26,83,-22.9661,-42.0278,76.86,0.0
27,Kijang,79,KR,2022-02-08 01:09:33,26,35.2442,129.2139,37.56,3.96
28,Saint-Philippe,100,RE,2022-02-08 01:09:34,88,-21.3585,55.7679,74.79,12.46
29,Cidreira,5,BR,2022-02-08 01:09:34,71,-30.1811,-50.2056,68.97,9.55
30,Yellowknife,100,CA,2022-02-08 01:09:34,87,62.456,-114.3525,-1.59,16.11
31,Busselton,82,AU,2022-02-08 01:05:45,66,-33.65,115.3333,71.04,4.5
32,Guider,6,CM,2022-02-08 01:09:35,16,9.9342,13.9486,73.85,6.69
33,Ossora,98,RU,2022-02-08 01:09:35,91,59.2353,163.0719,10.83,8.28
34,Hofn,100,IS,2022-02-08 01:09:36,72,64.2539,-15.2082,35.06,39.97
35,Ilulissat,75,GL,2022-02-08 01:06:31,66,69.2167,-51.1,6.82,16.11
36,Dowa,6,MW,2022-02-08 01:09:36,97,-13.654,33.9375,59.02,3.29
37,Butaritari,84,KI,2022-02-08 01:09:37,75,3.0707,172.7902,82.4,16.96
38,Casian,100,PH,2022-02-08 01:09:37,83,11.035,119.7136,80.47,19.46
39,Villa Maria,0,AR,2022-02-08 01:09:37,42,-32.4075,-63.2402,63.97,5.46
40,Broken Hill,3,AU,2022-02-08 01:09:37,26,-31.95,141.4333,83.62,16.26
41,Kinna,100,SE,2022-02-08 01:09:38,88,57.5073,12.6946,40.44,11.41
42,Kaitangata,0,NZ,2022-02-08 01:09:38,76,-46.2817,169.8464,59.94,6.49
43,East London,1,ZA,2022-02-08 01:05:54,87,-33.0153,27.9116,72.21,9.53
44,Varhaug,100,NO,2022-02-08 01:09:39,93,58.6147,5.6457,45.95,24.43
45,Ganzhou,100,CN,2022-02-08 01:09:39,90,28.8184,115.4327,37.15,4.27
46,Srednekolymsk,75,RU,2022-02-08 01:09:39,97,67.45,153.6833,-35.7,5.06
47,Bambous Virieux,75,MU,2022-02-08 01:10:40,94,-20.3428,57.7575,75.45,4.61
48,Rodrigues Alves,73,BR,2022-02-08 01:10:40,99,-7.738,-72.6509,70.18,2.64
49,Beloha,100,MG,2022-02-08 01:10:40,67,-25.1667,45.05,80.06,24.25
50,Ushuaia,100,AR,2022-02-08 01:10:41,67,-54.8,-68.3,60.46,8.05
51,Kapaa,75,US,2022-02-08 01:10:41,67,22.0752,-159.319,79.12,12.66
52,Sistranda,100,NO,2022-02-08 01:10:41,98,63.7256,8.834,37.9,21.18
53,Qaqortoq,95,GL,2022-02-08 01:10:41,57,60.7167,-46.0333,9.1,42.99
54,Chokurdakh,98,RU,2022-02-08 01:10:42,100,70.6333,147.9167,-44.43,4.97
55,Kayes,5,ML,2022-02-08 01:10:42,9,14.0,-11.0,75.96,6.85
56,Saint George,0,US,2022-02-08 01:09:14,21,37.1041,-113.5841,59.47,0.0
57,Vila Velha,40,BR,2022-02-08 01:10:43,87,-20.3297,-40.2925,78.94,6.91
58,Valenca,99,BR,2022-02-08 01:10:43,90,-13.3703,-39.0731,74.66,0.96
59,La Asuncion,11,VE,2022-02-08 01:10:43,88,11.0333,-63.8628,76.6,15.64
60,Baculin,93,PH,2022-02-08 01:10:43,87,7.4525,126.5842,79.5,6.17
61,Puerto Ayora,9,EC,2022-02-08 01:10:44,79,-0.7393,-90.3518,73.2,6.17
62,Carauari,100,BR,2022-02-08 01:10:44,97,-4.8828,-66.8958,74.26,1.03
63,Sierra Vista,0,US,2022-02-08 01:06:40,27,31.5545,-110.3037,54.54,1.99
64,Constitucion,32,CL,2022-02-08 01:10:45,93,-35.3333,-72.4167,57.85,9.64
65,Ponta Do Sol,4,PT,2022-02-08 01:10:45,70,32.6667,-17.1,61.72,7.2
66,Kavaratti,20,IN,2022-02-08 01:10:45,73,10.5669,72.642,77.85,11.23
67,Naze,36,JP,2022-02-08 01:10:46,84,28.3667,129.4833,65.95,16.64
68,Port Alfred,8,ZA,2022-02-08 01:10:46,88,-33.5906,26.891,71.26,4.76
69,Yermish,100,RU,2022-02-08 01:10:46,97,54.7678,42.2711,29.44,11.88
70,Mamallapuram,100,IN,2022-02-08 01:10:47,76,12.6264,80.1722,77.05,6.22
71,Nantucket,20,US,2022-02-08 01:08:49,93,41.2835,-70.0995,46.51,17.27
72,Hermanus,0,ZA,2022-02-08 01:10:48,93,-34.4187,19.2345,62.91,5.79
73,Makokou,2,GA,2022-02-08 01:10:48,71,0.5738,12.8642,71.08,1.5
74,Kununurra,99,AU,2022-02-08 01:10:48,83,-15.7667,128.7333,82.38,6.91
75,New Norfolk,66,AU,2022-02-08 01:10:49,33,-42.7826,147.0587,72.66,5.28
76,Fallon,20,US,2022-02-08 01:10:49,26,39.4735,-118.7774,54.28,4.61
77,Najran,36,SA,2022-02-08 01:10:49,36,17.4924,44.1277,51.75,2.48
78,Geraldton,0,AU,2022-02-08 01:10:50,46,-28.7667,114.6,72.01,19.57
79,Sao Joao Da Barra,100,BR,2022-02-08 01:10:50,86,-21.6403,-41.0511,77.29,12.01
80,Okhotsk,100,RU,2022-02-08 01:10:50,74,59.3833,143.3,8.24,7.27
81,Zhumadian,100,CN,2022-02-08 01:10:51,74,32.9794,114.0294,33.76,2.21
82,Hobart,75,AU,2022-02-08 01:07:05,53,-42.8794,147.3294,73.02,8.05
83,Chicama,87,PE,2022-02-08 01:10:51,69,-7.8447,-79.1469,66.74,6.24
84,Waingapu,98,ID,2022-02-08 01:10:51,73,-9.6567,120.2641,83.86,5.35
85,Zyryanovsk,84,KZ,2022-02-08 01:10:52,95,49.7386,84.2719,-15.09,2.15
86,Axim,100,GH,2022-02-08 01:10:52,90,4.8699,-2.2405,77.97,6.44
87,Port Elizabeth,5,ZA,2022-02-08 01:10:52,81,-33.918,25.5701,69.33,3.2
88,Safford,0,US,2022-02-08 01:10:53,31,32.834,-109.7076,56.07,10.16
89,Suchedniow,100,PL,2022-02-08 01:10:53,86,51.0478,20.8292,35.78,12.5
90,Bathsheba,48,BB,2022-02-08 01:10:53,72,13.2167,-59.5167,76.71,15.68
91,Tevaitoa,100,PF,2022-02-08 01:10:54,77,-16.7833,-151.5,81.07,20.22
92,Belis,78,RO,2022-02-08 01:11:54,94,46.65,23.0333,24.84,10.4
93,Trofors,100,NO,2022-02-08 01:11:55,88,65.5333,13.4063,34.95,5.68
